Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-06-16,511.0,23.0,284.0,6,16,1,0,401.0,0.0,0.0,412.5,142.0,219.0,120.0,684.0,648.0,0,0,0,0,1,0,0
2023-06-17,180.0,1225.0,416.0,6,17,1,0,511.0,0.0,0.0,284.0,118.0,631.0,23.0,326.0,761.0,0,0,0,0,0,1,0
2023-06-18,197.0,1575.0,427.0,6,18,0,0,180.0,96.0,238.0,416.0,40.0,434.0,1225.0,91.75,558.0,0,0,0,0,0,0,1
2023-06-19,128.0,1421.5,80.0,6,19,0,0,197.0,0.0,41.0,427.0,305.0,346.0,1575.0,556.0,963.0,1,0,0,0,0,0,0
2023-06-20,233.0,360.0,65.0,6,20,0,0,128.0,0.0,55.0,80.0,381.0,119.5,1421.5,245.0,810.5,0,1,0,0,0,0,0
2023-06-21,223.5,314.5,0.0,6,21,0,0,233.0,407.0,0.0,65.0,130.0,40.0,360.0,298.75,45.0,0,0,1,0,0,0,0
2023-06-22,16.0,842.75,330.0,6,22,0,0,223.5,401.0,170.0,0.0,412.5,383.0,314.5,120.0,648.0,0,0,0,1,0,0,0
2023-06-23,78.0,943.0,70.0,6,23,1,0,16.0,511.0,0.0,330.0,284.0,275.0,842.75,23.0,145.0,0,0,0,0,1,0,0
2023-06-24,0.0,478.0,258.0,6,24,1,0,78.0,180.0,0.0,70.0,416.0,396.5,943.0,1225.0,207.0,0,0,0,0,0,1,0
2023-06-25,0.0,112.0,237.0,6,25,0,0,0.0,197.0,0.0,258.0,427.0,254.0,478.0,1575.0,726.7,0,0,0,0,0,0,1
2023-06-26,32.0,657.0,301.0,6,26,0,0,0.0,128.0,75.0,237.0,80.0,240.5,112.0,1421.5,111.0,1,0,0,0,0,0,0
